Gameweek,Date,Home,Away,Result/Time
GW1,SATURDAY 23 August,Bayern Munich,RB Leipzig,6 - 0
GW1,SATURDAY 23 August,Bayer Leverkusen,Hoffenheim,1 - 2
GW1,SATURDAY 23 August,Eintracht Frankfurt,Werder Bremen,4 - 1
GW1,SATURDAY 23 August,Freiburg,Augsburg,1 - 3
GW1,SATURDAY 23 August,Union Berlin,VfB Stuttgart,2 - 1
GW1,SATURDAY 23 August,Heidenheim,Wolfsburg,1 - 3
GW1,SUNDAY 24 August,St. Pauli,Borussia Dortmund,3 - 3
GW1,SUNDAY 24 August,Mainz,Cologne,0 - 1
GW1,MONDAY 25 August,Borussia Mönchengladbach,Hamburg,0 - 0
GW2,SATURDAY 30 August,Hamburg,St. Pauli,0 - 2
GW2,SATURDAY 30 August,RB Leipzig,Heidenheim,2 - 0
GW2,SATURDAY 30 August,Werder Bremen,Bayer Leverkusen,3 - 3
GW2,SATURDAY 30 August,VfB Stuttgart,Borussia Mönchengladbach,1 - 0
GW2,SATURDAY 30 August,Hoffenheim,Eintracht Frankfurt,1 - 3
GW2,SUNDAY 31 August,Augsburg,Bayern Munich,2 - 3
GW2,SUNDAY 31 August,Wolfsburg,Mainz,1 - 1
GW2,MONDAY 1 September,Borussia Dortmund,Union Berlin,3 - 0
GW2,MONDAY 1 September,Cologne,Freiburg,4 - 1
GW3,SATURDAY 13 September,Bayer Leverkusen,Eintracht Frankfurt,3 - 1
GW3,SATURDAY 13 September,Freiburg,VfB Stuttgart,3 - 1
GW3,SATURDAY 13 September,Mainz,RB Leipzig,0 - 1
GW3,SATURDAY 13 September,Wolfsburg,Cologne,3 - 3
GW3,SATURDAY 13 September,Union Berlin,Hoffenheim,2 - 4
GW3,SATURDAY 13 September,Heidenheim,Borussia Dortmund,0 - 2
GW3,SUNDAY 14 September,Bayern Munich,Hamburg,5 - 0
GW3,SUNDAY 14 September,St. Pauli,Augsburg,2 - 1
GW3,MONDAY 15 September,Borussia Mönchengladbach,Werder Bremen,0 - 4
GW4,SATURDAY 20 September,VfB Stuttgart,St. Pauli,2 - 0
GW4,SATURDAY 20 September,Werder Bremen,Freiburg,0 - 3
GW4,SATURDAY 20 September,Augsburg,Mainz,1 - 4
GW4,SATURDAY 20 September,Hoffenheim,Bayern Munich,1 - 4
GW4,SATURDAY 20 September,Hamburg,Heidenheim,2 - 1
GW4,SUNDAY 21 September,RB Leipzig,Cologne,3 - 1
GW4,SUNDAY 21 September,Eintracht Frankfurt,Union Berlin,3 - 4
GW4,MONDAY 22 September,Bayer Leverkusen,Borussia Mönchengladbach,1 - 1
GW4,MONDAY 22 September,Borussia Dortmund,Wolfsburg,1 - 0
GW5,SATURDAY 27 September,Bayern Munich,Werder Bremen,4 - 0
GW5,SATURDAY 27 September,Mainz,Borussia Dortmund,0 - 2
GW5,SATURDAY 27 September,Wolfsburg,RB Leipzig,0 - 1
GW5,SATURDAY 27 September,St. Pauli,Bayer Leverkusen,1 - 2
GW5,SATURDAY 27 September,Heidenheim,Augsburg,2 - 1
GW5,SUNDAY 28 September,Borussia Mönchengladbach,Eintracht Frankfurt,4 - 6
GW5,SUNDAY 28 September,Freiburg,Hoffenheim,1 - 1
GW5,MONDAY 29 September,Cologne,VfB Stuttgart,1 - 2
GW5,MONDAY 29 September,Union Berlin,Hamburg,0 - 0
GW6,SATURDAY 4 October,Hoffenheim,Cologne,0 - 1
GW6,SATURDAY 4 October,Bayer Leverkusen,Union Berlin,2 - 0
GW6,SATURDAY 4 October,Borussia Dortmund,RB Leipzig,1 - 1
GW6,SATURDAY 4 October,Werder Bremen,St. Pauli,1 - 0
GW6,SATURDAY 4 October,Augsburg,Wolfsburg,3 - 1
GW6,SUNDAY 5 October,Eintracht Frankfurt,Bayern Munich,0 - 3
GW6,SUNDAY 5 October,VfB Stuttgart,Heidenheim,1 - 0
GW6,MONDAY 6 October,Hamburg,Mainz,4 - 0
GW6,MONDAY 6 October,Borussia Mönchengladbach,Freiburg,0 - 0
GW7,SATURDAY 18 October,Union Berlin,Borussia Mönchengladbach,3 - 1
GW7,SATURDAY 18 October,Mainz,Bayer Leverkusen,3 - 4
