Gameweek,Date,Home,Away,Result/Time
GW1,"dom, 24 ago | 18:30",GENOA,LECCE,0 - 0
GW1,"dom, 24 ago | 18:30",SASSUOLO,NAPOLI,0 - 2
GW1,"dom, 24 ago | 20:45",MILAN,CREMONESE,1 - 2
GW1,"dom, 24 ago | 20:45",ROMA,BOLOGNA,1 - 0
GW1,"lun, 25 ago | 18:30",CAGLIARI,FIORENTINA,1 - 1
GW1,"lun, 25 ago | 18:30",COMO,LAZIO,2 - 0
GW1,"lun, 25 ago | 20:45",ATALANTA,PISA,1 - 1
GW1,"lun, 25 ago | 20:45",JUVENTUS,PARMA,2 - 0
GW1,"mar, 26 ago | 18:30",UDINESE,VERONA,1 - 1
GW1,"mar, 26 ago | 20:45",INTER,TORINO,5 - 0
GW2,"sab, 30 ago | 18:30",CREMONESE,SASSUOLO,3 - 2
GW2,"sab, 30 ago | 20:45",LECCE,MILAN,0 - 2
GW2,"dom, 31 ago | 18:30",BOLOGNA,COMO,1 - 0
GW2,"dom, 31 ago | 18:30",PARMA,ATALANTA,1 - 1
GW2,"dom, 31 ago | 20:45",NAPOLI,CAGLIARI,1 - 0
GW2,"dom, 31 ago | 20:45",PISA,ROMA,0 - 1
GW2,"lun, 1 set | 18:30",GENOA,JUVENTUS,0 - 1
GW2,"lun, 1 set | 18:30",TORINO,FIORENTINA,0 - 0
GW2,"lun, 1 set | 20:45",INTER,UDINESE,1 - 2
GW2,"lun, 1 set | 20:45",LAZIO,VERONA,4 - 0
GW3,"sab, 13 set | 15:00",CAGLIARI,PARMA,2 - 0
GW3,"dom, 14 set | 18:00",JUVENTUS,INTER,4 - 3
GW3,"dom, 14 set | 20:45",FIORENTINA,NAPOLI,1 - 3
GW3,"dom, 14 set | 12:30",ROMA,TORINO,0 - 1
GW3,"dom, 14 set | 15:00",ATALANTA,LECCE,4 - 1
GW3,"dom, 14 set | 15:00",PISA,UDINESE,0 - 1
GW3,"lun, 15 set | 18:00",SASSUOLO,LAZIO,1 - 0
GW3,"lun, 15 set | 20:45",MILAN,BOLOGNA,1 - 0
GW3,"mar, 16 set | 18:30",VERONA,CREMONESE,0 - 0
GW3,"mar, 16 set | 20:45",COMO,GENOA,1 - 1
GW4,"sab, 20 set | 20:45",LECCE,CAGLIARI,1 - 2
GW4,"sab, 20 set | 15:00",BOLOGNA,GENOA,2 - 1
GW4,"dom, 21 set | 18:00",VERONA,JUVENTUS,1 - 1
GW4,"dom, 21 set | 20:45",UDINESE,MILAN,0 - 3
GW4,"dom, 21 set | 12:30",LAZIO,ROMA,0 - 1
GW4,"dom, 21 set | 15:00",CREMONESE,PARMA,0 - 0
GW4,"dom, 21 set | 15:00",TORINO,ATALANTA,0 - 3
GW4,"lun, 22 set | 18:00",FIORENTINA,COMO,1 - 2
GW4,"lun, 22 set | 20:45",INTER,SASSUOLO,2 - 1
GW4,"mar, 23 set | 20:45",NAPOLI,PISA,3 - 2
GW5,"sab, 27 set | 15:00",COMO,CREMONESE,1 - 1
GW5,"dom, 28 set | 18:00",JUVENTUS,ATALANTA,1 - 1
GW5,"dom, 28 set | 20:45",CAGLIARI,INTER,0 - 2
GW5,"dom, 28 set | 12:30",SASSUOLO,UDINESE,3 - 1
GW5,"dom, 28 set | 15:00",PISA,FIORENTINA,0 - 0
GW5,"dom, 28 set | 15:00",ROMA,VERONA,2 - 0
