Gameweek,Date,Home,Away,Result/Time
First qualifying round - 1st leg,Tuesday 8 July 2025,KuPS Kuopio,Milsami,1 - 0
First qualifying round - 1st leg,Tuesday 8 July 2025,Iberia Tbilisi,Malmö,1 - 3
First qualifying round - 1st leg,Tuesday 8 July 2025,Noah,Budućnost,1 - 0
First qualifying round - 1st leg,Tuesday 8 July 2025,Levadia Tallinn,RFS,0 - 1
First qualifying round - 1st leg,Tuesday 8 July 2025,Olimpija,Kairat Almaty,1 - 1
First qualifying round - 1st leg,Tuesday 8 July 2025,The New Saints,Shkëndija,0 - 0
First qualifying round - 1st leg,Tuesday 8 July 2025,Drita,Differdange,1 - 0
First qualifying round - 1st leg,Tuesday 8 July 2025,Víkingur,L. Red Imps,2 - 3
First qualifying round - 1st leg,Tuesday 8 July 2025,Egnatia,Breiðablik,1 - 0
First qualifying round - 1st leg,Tuesday 8 July 2025,Virtus,Zrinjski,0 - 2
First qualifying round - 1st leg,Wednesday 9 July 2025,Žalgiris,Hamrun Spartans,2 - 0
First qualifying round - 1st leg,Wednesday 9 July 2025,FCSB,Inter Escaldes,3 - 1
First qualifying round - 1st leg,Wednesday 9 July 2025,Ludogorets,Dinamo-Minsk,1 - 0
First qualifying round - 1st leg,Wednesday 9 July 2025,Shelbourne,Linfield,1 - 0
First qualifying round - 2nd leg,Tuesday 15 July 2025,Kairat Almaty,Olimpija,2 - 0
First qualifying round - 2nd leg,Tuesday 15 July 2025,L. Red Imps,Víkingur,1 - 0
First qualifying round - 2nd leg,Tuesday 15 July 2025,Hamrun Spartans,Žalgiris,2 - 0
First qualifying round - 2nd leg,Tuesday 15 July 2025,Milsami,KuPS Kuopio,0 - 0
First qualifying round - 2nd leg,Tuesday 15 July 2025,Malmö,Iberia Tbilisi,3 - 1
First qualifying round - 2nd leg,Tuesday 15 July 2025,RFS,Levadia Tallinn,1 - 0
First qualifying round - 2nd leg,Tuesday 15 July 2025,Shkëndija,The New Saints,2 - 1
First qualifying round - 2nd leg,Tuesday 15 July 2025,Differdange,Drita,2 - 3
First qualifying round - 2nd leg,Tuesday 15 July 2025,Inter Escaldes,FCSB,2 - 1
First qualifying round - 2nd leg,Tuesday 15 July 2025,Breiðablik,Egnatia,5 - 0
First qualifying round - 2nd leg,Tuesday 15 July 2025,Zrinjski,Virtus,2 - 1
First qualifying round - 2nd leg,Tuesday 15 July 2025,Budućnost,Noah,2 - 2
First qualifying round - 2nd leg,Wednesday 16 July 2025,Linfield,Shelbourne,1 - 1
First qualifying round - 2nd leg,Wednesday 16 July 2025,Dinamo-Minsk,Ludogorets,2 - 2
Second qualifying round - 1st leg,Tuesday 22 July 2025,KuPS Kuopio,Kairat Almaty,2 - 0
Second qualifying round - 1st leg,Tuesday 22 July 2025,L. Red Imps,Crvena Zvezda,0 - 1
Second qualifying round - 1st leg,Tuesday 22 July 2025,Noah,Ferencváros,1 - 2
Second qualifying round - 1st leg,Tuesday 22 July 2025,RFS,Malmö,1 - 4
Second qualifying round - 1st leg,Tuesday 22 July 2025,Hamrun Spartans,Dynamo Kyiv,0 - 3
Second qualifying round - 1st leg,Tuesday 22 July 2025,Pafos,M. Tel-Aviv,1 - 1
Second qualifying round - 1st leg,Tuesday 22 July 2025,Copenhagen,Drita,2 - 0
Second qualifying round - 1st leg,Tuesday 22 July 2025,Viktoria Plzeň,Servette,0 - 1
Second qualifying round - 1st leg,Tuesday 22 July 2025,Shkëndija,FCSB,1 - 0
